[22:03:08.661] [14661] [INFO ] [JNI_OnLoad:24]	jvm onload success ! 
[22:03:08.662] [14661] [INFO ] [init:111]	JniNativeCallback init ok. 
[22:03:08.662] [14661] [INFO ] [init:136]	to init engine, user: test001, mode: 0, proxyEndpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[22:03:08.662] [14661] [WARN ] [init:158]	Cannot find the --Mpc.Data=xxxxx config item ! 
[22:03:08.662] [14661] [WARN ] [init:178]	Cannot find the --Mpc.Circuits=xxxxx config item ! not preload circuits !! 
[22:03:08.662] [14661] [INFO ] [init:188]	preload circuits ok ! 
[22:03:08.662] [14661] [INFO ] [init:212]	Not start node server ! use proxy forward ! 
[22:03:08.663] [14661] [INFO ] [MpcTaskDispatcher:39]	construct task dispatcher, with 8 processor, load balence is: 16384 
[22:03:08.664] [14661] [INFO ] [init:63]	INIT the processor: 0, type: 0 ok 
[22:03:08.664] [14661] [INFO ] [init:63]	INIT the processor: 1, type: 0 ok 
[22:03:08.664] [14686] [INFO ] [operator():54]	task processor: 0 is running... 
[22:03:08.664] [14661] [INFO ] [init:63]	INIT the processor: 2, type: 0 ok 
[22:03:08.664] [14686] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[22:03:08.664] [14661] [INFO ] [init:63]	INIT the processor: 3, type: 0 ok 
[22:03:08.664] [14689] [INFO ] [operator():54]	task processor: 3 is running... 
[22:03:08.664] [14661] [INFO ] [init:63]	INIT the processor: 4, type: 1 ok 
[22:03:08.664] [14689] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[22:03:08.664] [14661] [INFO ] [init:63]	INIT the processor: 5, type: 1 ok 
[22:03:08.664] [14688] [INFO ] [operator():54]	task processor: 2 is running... 
[22:03:08.664] [14688] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[22:03:08.664] [14687] [INFO ] [operator():54]	task processor: 1 is running... 
[22:03:08.664] [14687] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[22:03:08.664] [14661] [INFO ] [init:63]	INIT the processor: 6, type: 1 ok 
[22:03:08.664] [14692] [INFO ] [operator():54]	task processor: 6 is running... 
[22:03:08.664] [14691] [INFO ] [operator():54]	task processor: 5 is running... 
[22:03:08.665] [14661] [INFO ] [init:63]	INIT the processor: 7, type: 1 ok 
[22:03:08.665] [14692] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[22:03:08.665] [14691] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[22:03:08.665] [14661] [INFO ] [init:234]	INIT task dispatcher done ! 
[22:03:08.666] [14693] [INFO ] [operator():54]	task processor: 7 is running... 
[22:03:08.666] [14693] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[22:03:08.666] [14661] [INFO ] [init:64]	connect to busi proxy server endpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[22:03:08.665] [14690] [INFO ] [operator():54]	task processor: 4 is running... 
[22:03:08.669] [14690] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[22:03:08.687] [14699] [INFO ] [connected:34]	to get session... 
[22:03:08.687] [14699] [INFO ] [connected:38]	to get create busi node callback... 
[22:03:08.687] [14699] [INFO ] [connected:46]	to set node callback, public endpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000, user: test001 ... 
[22:03:08.690] [14699] [WARN ] [connected:55]	the busi session create success. 
[22:03:09.179] [14661] [INFO ] [init:69]	waiting for node busi client inited ... timeout 1s.. 
[22:03:09.179] [14661] [INFO ] [init:74]	the busi node communicator is prepared !!!! 
[22:03:09.179] [14661] [INFO ] [init:86]	INIT busi node client success. user: test001, proxyEndpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[22:03:09.179] [14661] [INFO ] [init:244]	INIT busi node client done ! 
[22:03:09.179] [14661] [INFO ] [init:48]	input ready process init ok. 
[22:03:09.179] [14661] [INFO ] [init:253]	INIT input ready processor done ! 
[22:03:09.179] [14661] [INFO ] [init:48]	ready process init ok. max request queue size: 4 
[22:03:09.179] [14661] [INFO ] [init:263]	INIT ready processor done ! 
[22:03:09.179] [14661] [INFO ] [init:269]	Mpc engine init success. 
[22:03:09.180] [14724] [INFO ] [popCommitTask:127]	to POP a commit task, task size: 0  ... 
[22:03:09.181] [14661] [INFO ] [Java_com_juzix_jugo_node_jni_NativeInterface_setDataLogLevel:155]	init the log to level: 3, data log state: 0 
[22:03:26.507] [14698] [WARN ] [MpcMemPool:42]	the mempool construction, size: 134217728, mem: 0x7fef86bf0010 
[22:03:28.131] [14690] [WARN ] [run:156]	no data for input !!!! 
[22:03:28.131] [14690] [ERROR] [processMpcBusi:231]	MPC run failed ! taskID: a128cbfd-4500-48cd-b62f-d9e3dea39e41  
[22:03:28.132] [14692] [WARN ] [run:156]	no data for input !!!! 
[22:03:28.132] [14691] [WARN ] [run:156]	no data for input !!!! 
[22:03:28.132] [14693] [WARN ] [run:156]	no data for input !!!! 
[22:03:28.132] [14692] [ERROR] [processMpcBusi:231]	MPC run failed ! taskID: 5f350142-67f6-492e-a7e1-c9b2497478b9  
[22:03:28.132] [14691] [ERROR] [processMpcBusi:231]	MPC run failed ! taskID: 24c287a1-5f08-4526-8178-8bcf20ce2eee  
[22:03:28.132] [14693] [ERROR] [processMpcBusi:231]	MPC run failed ! taskID: 36b25f2a-9c0b-4b31-bac5-a953ab71f1c4  
[22:03:30.149] [14693] [WARN ] [processTask:148]	processor a MPC task: 36b25f2a-9c0b-4b31-bac5-a953ab71f1c4 Failed ! 
[22:03:30.149] [14691] [WARN ] [processTask:148]	processor a MPC task: 24c287a1-5f08-4526-8178-8bcf20ce2eee Failed ! 
[22:03:30.149] [14692] [WARN ] [processTask:148]	processor a MPC task: 5f350142-67f6-492e-a7e1-c9b2497478b9 Failed ! 
[22:03:30.149] [14690] [WARN ] [processTask:148]	processor a MPC task: a128cbfd-4500-48cd-b62f-d9e3dea39e41 Failed ! 
[22:09:22.911] [14698] [ERROR] [error:157]	got error busi back: a758fb68-87dd-4ba8-aa73-28af56157c1e, code: 1007 
[22:09:22.911] [14698] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: a758fb68-87dd-4ba8-aa73-28af56157c1e !  [THE user: test001] 
[22:09:22.912] [3452 ] [ERROR] [error:157]	got error busi back: 65e326cc-f11e-47e9-aa89-2dd07f0fc3d3, code: 1007 
[22:09:22.912] [3452 ] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: 65e326cc-f11e-47e9-aa89-2dd07f0fc3d3 !  [THE user: test001] 
[22:09:22.913] [14698] [ERROR] [error:157]	got error busi back: 10ab5684-74dc-4597-aa14-edb1912fff66, code: 1007 
[22:09:22.913] [14698] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: 10ab5684-74dc-4597-aa14-edb1912fff66 !  [THE user: test001] 
[22:09:22.914] [3452 ] [ERROR] [error:157]	got error busi back: bdec3121-4da9-4f8b-bf2f-29c83c50f20f, code: 1007 
[22:09:22.914] [3452 ] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: bdec3121-4da9-4f8b-bf2f-29c83c50f20f !  [THE user: test001] 
[22:09:22.914] [14698] [ERROR] [error:157]	got error busi back: 3a6998e3-4d83-4b64-88a9-5863046b5ede, code: 1007 
[22:09:22.915] [14698] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: 3a6998e3-4d83-4b64-88a9-5863046b5ede !  [THE user: test001] 
[22:09:22.915] [3452 ] [ERROR] [error:157]	got error busi back: 599f2e9a-460e-4745-a431-63f1a9318e75, code: 1007 
[22:09:22.915] [3452 ] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: 599f2e9a-460e-4745-a431-63f1a9318e75 !  [THE user: test001] 
[22:09:22.916] [14698] [ERROR] [error:157]	got error busi back: b5564c12-1b7b-46a3-a977-fa0a1d942301, code: 1007 
[22:09:22.916] [14698] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: b5564c12-1b7b-46a3-a977-fa0a1d942301 !  [THE user: test001] 
[22:09:22.917] [3452 ] [ERROR] [error:157]	got error busi back: 5c033499-96fe-4184-908e-c4c3ccddb7f2, code: 1007 
[22:09:22.917] [3452 ] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: 5c033499-96fe-4184-908e-c4c3ccddb7f2 !  [THE user: test001] 
[22:09:22.917] [14698] [ERROR] [error:157]	got error busi back: 2ba25aa1-fc9d-4103-91ad-feb705a9e698, code: 1007 
[22:09:22.917] [14698] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: 2ba25aa1-fc9d-4103-91ad-feb705a9e698 !  [THE user: test001] 
[22:09:22.918] [3452 ] [ERROR] [error:157]	got error busi back: a425cfa9-5ac1-4607-874c-0534d8196fb6, code: 1007 
[22:09:22.918] [3452 ] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: a425cfa9-5ac1-4607-874c-0534d8196fb6 !  [THE user: test001] 
[22:09:22.919] [14698] [ERROR] [error:157]	got error busi back: a40d7f45-6ee2-4516-a9c4-4cc4396a6f23, code: 1007 
[22:09:22.919] [14698] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: a40d7f45-6ee2-4516-a9c4-4cc4396a6f23 !  [THE user: test001] 
[22:09:22.920] [3452 ] [ERROR] [error:157]	got error busi back: cfafa9d9-98eb-4153-a444-d05885d77a7e, code: 1007 
