[15:47:21.542] [6243 ] [INFO ] [JNI_OnLoad:24]	jvm onload success ! 
[15:47:21.542] [6243 ] [INFO ] [init:111]	JniNativeCallback init ok. 
[15:47:21.542] [6243 ] [INFO ] [init:136]	to init engine, user: test002, mode: 0, proxyEndpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[15:47:21.542] [6243 ] [WARN ] [init:158]	Cannot find the --Mpc.Data=xxxxx config item ! 
[15:47:21.542] [6243 ] [INFO ] [parseCircuits:365]	** preload circuit:  /home/lmars/gc/moran103.gc 
[15:47:21.542] [6243 ] [INFO ] [init:172]	the --Mpc.Circuits=/home/lmars/gc/moran103.gc is set ! 
[15:47:22.809] [6243 ] [INFO ] [resolveCiruit:326]	** circuit resolve => circuit: /home/lmars/gc/moran103.gc , gates: 3192727, andGate: 891815, wires: 3199319, cost time: 1.266561 seconds, speed: 2520783.581038 (gc / second) ** 
[15:47:22.809] [6243 ] [INFO ] [CircuitFile:108]	circuit: /home/lmars/gc/moran103.gc,  hash: 1AB21D8355CFA17F8E61194831E81A8F22BEC8C728FEFB747ED035EB5082AA2B 
[15:47:22.809] [6243 ] [INFO ] [init:188]	preload circuits ok ! 
[15:47:22.809] [6243 ] [INFO ] [init:212]	Not start node server ! use proxy forward ! 
[15:47:22.809] [6243 ] [INFO ] [MpcTaskDispatcher:39]	construct task dispatcher, with 8 processor, load balence is: 16384 
[15:47:22.810] [6243 ] [INFO ] [init:63]	INIT the processor: 0, type: 0 ok 
[15:47:22.810] [6384 ] [INFO ] [operator():54]	task processor: 0 is running... 
[15:47:22.810] [6385 ] [INFO ] [operator():54]	task processor: 1 is running... 
[15:47:22.810] [6243 ] [INFO ] [init:63]	INIT the processor: 1, type: 0 ok 
[15:47:22.810] [6384 ] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[15:47:22.810] [6243 ] [INFO ] [init:63]	INIT the processor: 2, type: 0 ok 
[15:47:22.810] [6243 ] [INFO ] [init:63]	INIT the processor: 3, type: 0 ok 
[15:47:22.810] [6243 ] [INFO ] [init:63]	INIT the processor: 4, type: 1 ok 
[15:47:22.810] [6243 ] [INFO ] [init:63]	INIT the processor: 5, type: 1 ok 
[15:47:22.810] [6243 ] [INFO ] [init:63]	INIT the processor: 6, type: 1 ok 
[15:47:22.810] [6243 ] [INFO ] [init:63]	INIT the processor: 7, type: 1 ok 
[15:47:22.810] [6243 ] [INFO ] [init:234]	INIT task dispatcher done ! 
[15:47:22.810] [6387 ] [INFO ] [operator():54]	task processor: 3 is running... 
[15:47:22.810] [6387 ] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[15:47:22.810] [6389 ] [INFO ] [operator():54]	task processor: 5 is running... 
[15:47:22.810] [6389 ] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[15:47:22.811] [6243 ] [INFO ] [init:64]	connect to busi proxy server endpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[15:47:22.813] [6388 ] [INFO ] [operator():54]	task processor: 4 is running... 
[15:47:22.813] [6388 ] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[15:47:22.813] [6391 ] [INFO ] [operator():54]	task processor: 7 is running... 
[15:47:22.813] [6391 ] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[15:47:22.814] [6390 ] [INFO ] [operator():54]	task processor: 6 is running... 
[15:47:22.814] [6390 ] [INFO ] [popInviteeReadyTask:208]	to POP a ready task from ready invitee queue to processor, now read_num: 0 ... 
[15:47:22.814] [6386 ] [INFO ] [operator():54]	task processor: 2 is running... 
[15:47:22.814] [6386 ] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[15:47:22.815] [6385 ] [INFO ] [popInvitorReadyTask:270]	to POP a ready task from ready invitor queue to processor, now read_num: 0 ... 
[15:47:22.823] [6398 ] [INFO ] [connected:34]	to get session... 
[15:47:22.824] [6398 ] [INFO ] [connected:38]	to get create busi node callback... 
[15:47:22.824] [6398 ] [INFO ] [connected:46]	to set node callback, public endpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000, user: test002 ... 
[15:47:22.826] [6398 ] [WARN ] [connected:55]	the busi session create success. 
[15:47:23.317] [6243 ] [INFO ] [init:69]	waiting for node busi client inited ... timeout 1s.. 
[15:47:23.317] [6243 ] [INFO ] [init:74]	the busi node communicator is prepared !!!! 
[15:47:23.317] [6243 ] [INFO ] [init:86]	INIT busi node client success. user: test002, proxyEndpoint: ProxyGlacier2/router:tcp -h 202.114.114.46 -p 4502 -t 11000 
[15:47:23.317] [6243 ] [INFO ] [init:244]	INIT busi node client done ! 
[15:47:23.317] [6243 ] [INFO ] [init:48]	input ready process init ok. 
[15:47:23.317] [6243 ] [INFO ] [init:253]	INIT input ready processor done ! 
[15:47:23.317] [6243 ] [INFO ] [init:48]	ready process init ok. max request queue size: 4 
[15:47:23.317] [6243 ] [INFO ] [init:263]	INIT ready processor done ! 
[15:47:23.317] [6243 ] [INFO ] [init:269]	Mpc engine init success. 
[15:47:23.318] [6243 ] [INFO ] [Java_com_juzix_jugo_node_jni_NativeInterface_setDataLogLevel:155]	init the log to level: 3, data log state: 0 
[15:47:23.322] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.357] [6397 ] [WARN ] [MpcMemPool:42]	the mempool construction, size: 134217728, mem: 0x7f6f4af27010 
[15:47:23.373] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.379] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.387] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.395] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.404] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.409] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.413] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.416] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.419] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.423] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.426] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.430] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.433] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.436] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.440] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.443] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.446] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.450] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.452] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.456] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.458] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.462] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.466] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.469] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.471] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.475] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.478] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.481] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.484] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.487] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.490] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.496] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.499] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.503] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.506] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.509] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.511] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.514] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.517] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.532] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.546] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.551] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.554] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.560] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.564] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.569] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.575] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.578] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[15:47:23.584] [6243 ] [ERROR] [Java_com_juzix_jugo_node_jni_NativeInterface_startTask:135]	commit a invite task to engine ok ! 
[19:29:58.528] [6397 ] [ERROR] [error:157]	got error busi back: 705b4d67-011a-4ba3-9f71-56173d19e13d, code: 1007 
[19:29:58.528] [6397 ] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: 705b4d67-011a-4ba3-9f71-56173d19e13d !  [THE user: test002] 
[19:29:58.529] [29271] [ERROR] [error:157]	got error busi back: e1dc1d3b-cbb4-4961-afc9-e21d5b85ceca, code: 1007 
[19:29:58.529] [29271] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: e1dc1d3b-cbb4-4961-afc9-e21d5b85ceca !  [THE user: test002] 
[19:29:58.530] [6397 ] [ERROR] [error:157]	got error busi back: 3fbc094c-8296-4f1a-a5be-77b01766e23d, code: 1007 
[19:29:58.530] [6397 ] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: 3fbc094c-8296-4f1a-a5be-77b01766e23d !  [THE user: test002] 
[19:29:58.531] [6397 ] [ERROR] [error:157]	got error busi back: 02905960-79e1-4db8-894f-1bb5035b39d1, code: 1007 
[19:29:58.531] [6397 ] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: 02905960-79e1-4db8-894f-1bb5035b39d1 !  [THE user: test002] 
[19:29:58.533] [6397 ] [ERROR] [error:157]	got error busi back: 65e326cc-f11e-47e9-aa89-2dd07f0fc3d3, code: 1007 
[19:29:58.533] [6397 ] [WARN ] [error:167]	busi err back, erase task failed, cannot find cache task: 65e326cc-f11e-47e9-aa89-2dd07f0fc3d3 !  [THE user: test002] 
